population,sample_id,153Eu_STAT1,175Lu_pS6,144Nd_pPLCg2,158Gd_pStat3,171Yb_pERK,156Gd_p-p38,165Ho_pCREB,152Sm_Akt,167Er_total_pMET,143Nd_bio_pMET,164Dy_Ikba,150Nd_STAT5,147Sm_CD20,151Eu_CD123__IL-3R,154Sm_CD45,148Nd_CD34,141Pr_CD7,142Nd_CD19,145Nd_CD4,149Sm_CD25,155Gd_CD27,159Tb_CD11c,160Gd_CD14,166Er_CD16,168Er_CD8a,169Tm_CD45RA,170Er_CD3,172Yb_CD38,174Yb_HLA-DR,146Nd_IgD,157Gd_CD24,163Dy_CD33,176Yb_CD127__IL-7R
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c12_sample2_01_0_E03_D0_PERV.fcs - c12_sample2_01_0_E03_D0_PERV.fcs,12.38,5.27,12.2,4.26,11.29,82.38,515.48,47.54,52.94,46.34,106.9,7.77,0.42,26.87,124.58,168.23,1.23,0.67,1.32,1.14,0.96,59.82,2.99,1.64,1.1,14.24,3.97,524.97,38.82,3.86,1.51,19.51,1.16
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c04_sample2_01_0_E03_D1_UN.fcs - c04_sample2_01_0_E03_D1_UN.fcs,11.21,4.18,3.3,1.99,1.33,14.96,297.19,9.51,56.38,37.83,107.85,3.74,0.35,25.21,138.42,191.88,1.04,0.63,1.23,1.61,0.79,76.95,2.63,1.42,1.04,17.99,4.45,469.2,42.17,3.08,0.69,23.11,1.23
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c13_sample2_01_0_E03_D1_PERV.fcs - c13_sample2_01_0_E03_D1_PERV.fcs,12.79,5.32,8.25,3.05,5.26,81.56,501.14,35.56,55.75,47.22,111.48,5.73,0.39,26.77,141.27,196.93,1.1,0.7,1.29,1.65,0.91,80.26,2.86,1.49,0.98,18.71,3.88,480.26,42.42,3.15,1.53,23.6,1.12
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c05_sample2_01_0_E03_D2_UN.fcs - c05_sample2_01_0_E03_D2_UN.fcs,7.6,1.89,3.43,1.93,1.47,12.26,253.35,9.85,41.54,35.6,121.21,3.68,0.37,14.03,166.99,270.93,1.28,0.73,1.21,3.43,0.75,79.08,2.09,1.14,0.85,15.72,4.22,638.86,70.11,3.14,0.59,24.91,1.01
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c14_sample2_01_0_E03_D2_PERV.fcs - c14_sample2_01_0_E03_D2_PERV.fcs,9.05,2.7,9,2.88,6.01,64.18,437.41,39.64,40.75,42.81,122.96,5.69,0.4,14.27,162.75,268.72,1.41,0.77,1.26,3.43,0.9,79.96,2.29,1.33,0.86,15.76,3.59,652.14,67.84,3.48,1.17,25.11,1.01
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c04_sample1_01_0_E04_D0_UN.fcs - c04_sample1_01_0_E04_D0_UN.fcs,68.85,17.22,12.66,9.82,6.45,32.81,463.94,24.72,63.43,73.86,169.11,10.23,0.82,2.08,1373.81,25.38,3.2,0.6,9.9,0.91,1.94,759.39,132.31,48.08,1.53,3.65,13.22,126.55,245.17,3.26,8.23,235.89,1.92
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c13_sample1_01_0_E04_D0_PERV.fcs - c13_sample1_01_0_E04_D0_PERV.fcs,69.39,23.82,189.93,38.94,28.66,195.62,434.09,25.9,78.36,111.4,195.16,51.95,0.8,2.02,1416.38,23.68,4.45,1.14,12.83,0.93,2.3,759.23,132.77,49.23,1.67,3.13,12.86,113.16,225.08,3.79,9.39,220.9,1.84
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c05_sample1_01_0_E04_D1_UN.fcs - c05_sample1_01_0_E04_D1_UN.fcs,40.71,14.12,7.41,13.18,10.38,55.96,343.56,17.21,29.56,51.66,28.8,6.36,1.28,2.61,1182.73,14.8,3.62,0.79,12.06,0.82,4.2,461.72,120.49,20.43,3.37,8.65,38.58,104.04,336.08,1.95,36.56,140.28,2.05
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c14_sample1_01_0_E04_D1_PERV.fcs - c14_sample1_01_0_E04_D1_PERV.fcs,65.4,21.72,201.62,41.14,27.57,130.46,314.17,19.47,63.56,100.55,60.18,52.11,0.95,3.2,1291.39,17.75,4.72,1.05,16.95,0.82,3.4,519.12,133.19,29.56,2.28,4.65,25.97,98.86,381.08,2.73,25.83,150.94,2.01
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c06_sample1_01_0_E04_D2_UN.fcs - c06_sample1_01_0_E04_D2_UN.fcs,19.1,7.5,4.18,17.45,10.12,35.65,164.37,10.97,16.67,35.26,7.71,3.11,1.12,4.23,1032.74,5.26,3.02,0.7,5.11,0.95,4.62,278.26,59.55,11.72,2.9,7.17,35.65,85.79,221.63,1.08,52.29,59.25,2
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c15_sample1_01_0_E04_D2_PERV.fcs - c15_sample1_01_0_E04_D2_PERV.fcs,45.76,14.53,151.26,26.77,20.16,73.93,184.43,14.6,44.92,71.4,24.79,33.69,1.43,7.39,1279.55,8.71,5.14,1.02,10.13,1.01,7.56,376.82,101.61,22.55,4.21,10.19,54.87,110.14,367.86,1.7,32.45,83.71,1.89
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c06_sample2_01_0_E05_D0_UN.fcs - c06_sample2_01_0_E05_D0_UN.fcs,13.79,43.86,6,2.89,2.65,67.83,413.96,17.94,22.44,46.58,43.82,5.47,1.66,23.79,829.08,16.44,2.84,1.44,8.6,3.77,7.72,242.11,72.9,1.38,1.44,7.17,49.28,275.49,330.82,2.03,2.87,136.64,2.49
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c15_sample2_01_0_E05_D0_PERV.fcs - c15_sample2_01_0_E05_D0_PERV.fcs,42.89,30.4,444.52,34.63,18.44,173.9,363.13,15.55,20.96,92.54,52.37,82.08,1.49,19.92,853.89,14.16,3.08,2.46,13.5,2.63,7.49,233.54,81.89,1.24,1.21,5.42,40.01,261.74,257.05,2.63,3.23,128.08,1.35
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c07_sample2_01_0_E05_D1_UN.fcs - c07_sample2_01_0_E05_D1_UN.fcs,22.09,17.02,7.91,3.83,2.07,47.08,450,22.5,27.23,63.68,57.92,9.14,1.18,15.42,1018.06,17.4,2.63,0.99,10.38,2.51,5.12,313.72,168.58,4.62,1.47,3.78,26.94,314.04,382.99,2.98,2.4,211.42,3.44
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c16_sample2_01_0_E05_D1_PERV.fcs - c16_sample2_01_0_E05_D1_PERV.fcs,43.61,11.28,188.28,11.18,7.88,170.33,275.69,20.34,27.16,73.57,69.68,36.18,1,13.49,1039.67,13.85,2.46,1.28,12.13,1.96,4.56,310.08,168.52,3.53,1.07,2.98,20.03,303.75,242.83,2.78,3.39,203.8,2.53
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c08_sample2_01_0_E05_D3_UN.fcs - c08_sample2_01_0_E05_D3_UN.fcs,22.5,12.29,8.78,4.06,2.11,58.03,448.34,23.6,22.64,62.86,61.02,9.15,0.86,8.31,1072.02,10.44,2.21,0.6,10.85,1.84,3.22,378.08,174.48,1.4,0.93,2.39,13.25,290.16,277.24,3.24,2.39,258.3,2.04
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c17_sample2_01_0_E05_D3_PERV.fcs - c17_sample2_01_0_E05_D3_PERV.fcs,34.37,9.77,278.98,22.01,9.81,221.12,397.8,21.87,19.86,84,69.8,57.89,0.71,7.14,1075.58,9.09,2.58,1.31,14.12,1.54,3.61,361.3,172.7,1.27,0.84,2.01,11.85,277.3,163,3.44,3.83,242.03,1.3
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c07_sample1_01_0_E07_D0_UN.fcs - c07_sample1_01_0_E07_D0_UN.fcs,9.39,14.66,10.31,3.32,2.21,48.33,431.29,12.4,27.01,53.69,39.63,6.37,0.85,25.43,851.81,267.17,15.88,0.9,6.69,3.48,5.69,199.96,104.17,2.11,3.99,23.52,26.93,229.34,460.95,2.28,6.41,67,2.38
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c16_sample1_01_0_D07_D0_PERV.fcs - c16_sample1_01_0_D07_D0_PERV.fcs,15.72,16.89,130.84,15.99,9.82,186.6,447.99,15.05,27.33,71.87,48.92,29.32,0.47,23.19,899.9,240.96,16.1,0.97,8.33,3.04,4.32,206.03,108.27,1.86,3,19.25,19.36,213.21,413.01,2.27,7.63,62.01,1.7
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c08_sample1_01_0_E07_D1_UN.fcs - c08_sample1_01_0_E07_D1_UN.fcs,4.62,13.04,6.41,6.12,2.12,67.42,356.74,8.36,14.1,32.32,19.83,4.12,0.95,24.49,709.22,265.15,14.41,2.03,4.68,3.24,3.07,162.85,66.4,3.54,2.74,15.67,13.99,192.77,397.28,3.63,20.62,55.51,33.67
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c17_sample1_01_0_D07_D1_PERV.fcs - c17_sample1_01_0_D07_D1_PERV.fcs,10.54,12.69,121.08,22.69,11.82,165.41,389.94,10.18,19.15,59.6,28.15,29.09,0.71,22.9,733.33,222.51,12.79,1.48,6.73,2.83,3.98,163.9,66.95,2.03,2.47,14.98,19.19,177.33,330.91,2.38,21.45,50.96,14.19
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c01_sample3_01_0_E09_D0_UN.fcs - c01_sample3_01_0_E09_D0_UN.fcs,8.45,2.58,2.1,9.16,1.39,61.96,272.76,6.33,10.84,38.99,4.59,2.22,0.81,6.99,960.86,0.92,1.26,0.39,3.34,0.75,3.95,388.77,65.39,3.06,1.3,16.7,23,47.79,319.59,0.85,31.87,69.34,3.68
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c07_sample3_01_0_E09_D0_PERV.fcs - c07_sample3_01_0_E09_D0_PERV.fcs,10.96,2.97,453.02,23.48,14.93,220.08,370.78,5.33,8.96,68.26,4.7,56.33,0.35,4.44,935.02,0.56,0.94,0.68,6.21,0.45,3.05,352.07,67.93,2.04,1.03,10.51,17.95,40.35,253.85,1.06,24.62,54.18,1.41
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c02_sample3_01_0_E09_D1_UN.fcs - c02_sample3_01_0_E09_D1_UN.fcs,1.87,0.36,0.34,10.1,0.38,5.34,11.79,2.83,0.87,10.58,0.31,0.8,0.45,1.47,494.34,0.61,0.37,0.25,0.59,0.39,0.73,118.59,6.42,0.43,0.49,2.38,2.06,12.51,64.62,0.31,87.34,19.28,1.97
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c08_sample3_01_0_E09_D1_PERV.fcs - c08_sample3_01_0_E09_D1_PERV.fcs,6.52,0.73,19.4,9.27,4.2,26.63,36.8,3.88,1.35,22,0.72,4.91,0.53,2.52,562.56,0.91,0.54,0.38,1.29,0.44,0.89,160.1,13,0.87,0.69,3.8,2.42,16.27,96.76,0.57,77.24,25.4,3.87
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c03_sample3_01_0_E09_D2_UN.fcs - c03_sample3_01_0_E09_D2_UN.fcs,0.2,0.17,0.31,14.91,0.15,1.43,3.62,2.18,1.48,3.97,0.25,0.78,0.39,0.16,496.55,0.54,0.34,0.57,0.16,0.39,0.64,115.82,1.32,0.42,0.37,1.52,1.57,5.14,14.08,0.25,100.22,14.13,2.56
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c09_sample3_01_0_E09_D2_PERV.fcs - c09_sample3_01_0_E09_D2_PERV.fcs,0.23,0.17,0.29,14.45,0.16,1.59,4.4,2.57,1.78,4.66,0.26,0.86,0.43,0.2,492.85,0.56,0.34,0.53,0.14,0.45,0.7,111.94,1.3,0.32,0.39,1.45,1.07,4.94,6.79,0.27,96.7,14.66,2.65
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c01_sample2_01_0_E12_D0_UN.fcs - c01_sample2_01_0_E12_D0_UN.fcs,3.32,55.29,12.93,3,3.06,36.06,454.74,10.5,17.49,29.19,45.58,4.51,0.39,24.8,585.68,233.79,14.07,1.22,15.31,7.99,33.37,78.58,11.13,1.8,14.74,45.68,225.21,62.82,86.48,1.74,2.33,62.59,3.35
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c10_sample2_01_0_E12_D0_PERV.fcs - c10_sample2_01_0_E12_D0_PERV.fcs,4.28,68.56,160.19,4.81,14.98,110.74,465.32,17.28,15.32,41.73,33.53,18.12,0.32,25.51,522.35,247.95,12.9,1.42,14.47,7.03,28.28,57.15,6.13,1.29,7.63,48.07,160.28,54.24,71.48,2.34,2.04,54.28,2.71
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c02_sample2_01_0_E12_D1_UN.fcs - c02_sample2_01_0_E12_D1_UN.fcs,3.77,53.95,14.07,2.59,3.81,47.11,443.13,9.86,16.94,26.9,30.85,3.96,0.44,18.35,630.27,235.29,15.63,1.15,19.22,5.8,43.73,90.42,15.58,2.23,16.1,37.63,265.11,68.06,91.95,1.79,2.78,61.65,3.07
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c11_sample2_01_0_E12_D1_PERV.fcs - c11_sample2_01_0_E12_D1_PERV.fcs,4.52,61.24,154.65,4.46,18.85,107.87,444.94,14.78,14.14,37.04,25.9,17.05,0.44,17.74,516.27,258.55,10.58,1.05,13.6,4.32,26.67,46.01,8.55,1.24,12.66,35.31,170.97,43.48,66.71,1.73,1.63,52.26,2.21
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c04_sample3_01_0_E13_D0_UN.fcs - c04_sample3_01_0_E13_D0_UN.fcs,10.95,7.98,3.56,4.7,2.16,46.9,435.04,7.64,27.04,64.56,23.06,3.06,0.24,3.56,978.99,1.02,2.97,0.27,9.94,0.94,9.36,306.48,113.91,1.15,2.27,43.17,60.37,194.77,743.66,0.96,10.1,13.57,2.49
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c10_sample3_01_0_E13_D0_PERV.fcs - c10_sample3_01_0_E13_D0_PERV.fcs,12.55,7.7,533.19,13.98,13.06,221.99,466.91,10.67,28.14,107.06,20.39,55.07,0.27,2.88,999.34,0.71,4.52,0.73,17.31,0.69,17.77,303.98,121,1.57,3.38,45.51,91.5,175.45,581.44,1.84,14.28,13.67,2.08
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c05_sample3_01_0_E13_D1_UN.fcs - c05_sample3_01_0_E13_D1_UN.fcs,10.4,3.09,5.89,4.14,1.47,26.05,339.44,7.44,24.26,62.26,34.91,3.98,1.27,2.49,1017.65,0.61,6.79,0.6,11.35,0.59,19.35,301.83,128.08,2.46,5.6,44.69,135.25,191.59,648.11,0.94,11.67,17.01,2.82
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c11_sample3_01_0_E13_D1_PERV-(1).fcs - c11_sample3_01_0_E13_D1_PERV.fcs,12.41,3.19,343.1,8.78,8.12,243.47,379.81,9.11,24.54,90.44,37.77,31.53,0.64,2.81,1108.78,0.86,6.97,0.81,13.34,0.66,19.69,331.32,126.38,2.64,3.88,49.53,109.6,198.65,526.32,1.31,14.13,17.95,1.86
CD33+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c11_sample3_01_0_E13_D1_PERV.fcs - c11_sample3_01_0_E13_D1_PERV.fcs,11.95,2.98,347.63,8.71,7.86,252.74,396.46,8.84,25.18,91.99,37.29,31.11,0.26,2.94,1094.35,0.96,5.2,0.68,12.41,0.53,15.86,328.69,133.94,2.63,3.6,47.78,91.53,217.83,523.03,1.32,12.17,17.9,1.96
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c09_sample1_01_0_HIMC1_UN.fcs - c09_sample1_01_0_HIMC1_UN.fcs,7.32,7.79,4.78,1.21,1.1,18.6,207.31,12.09,17.13,26.51,30.54,3.24,16.24,2.38,948.93,1.79,34.11,10.06,31.56,2.83,71.77,149.54,50.96,2.41,19.44,78.91,454.05,75.59,217.71,7.54,1.7,46.86,4.46
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c18_sample1_01_0_HIMC1_PERV.fcs - c18_sample1_01_0_HIMC1_PERV.fcs,8.6,9.06,139.71,9.22,5.37,90.43,227.16,14.25,19.77,40.18,32.58,23.84,14.52,2.26,927.53,1.6,33.25,9.25,31.73,2.49,66.77,141.07,48.63,2.36,17.97,76.64,408.73,69.63,171.75,6.81,2.23,42.23,4
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c09_sample2_01_0_HIMC2_UN.fcs - c09_sample2_01_0_HIMC2_UN.fcs,8.71,9.63,4,1.21,1.35,20.74,216.56,14.48,16.54,26.61,38.37,3.39,17.33,2.56,823.93,4.47,31.59,10.16,32.43,3.11,71.94,147.8,50.72,2.62,19.57,71.95,443.01,79.99,227.8,7.57,1.52,44.87,5.24
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c18_sample2_01_0_HIMC2_PERV.fcs - c18_sample2_01_0_HIMC2_PERV.fcs,10.56,11.14,144.16,10.25,6.47,97.15,235.94,17.67,17.97,43.1,39.64,26.47,16.03,2.4,810.67,4.45,31.34,10.08,33.46,2.97,68.12,137.64,47.28,2.59,17.38,71.71,410.12,74.95,186.21,7.91,2.17,40.05,4.93
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c06_sample3_01_0_HIMC3_UN.fcs - c06_sample3_01_0_HIMC3_UN.fcs,8.42,4.06,1.71,1.02,0.95,14.89,149.71,7.26,12.69,33.86,16.88,1.92,14.47,2.01,800.75,1.2,23.9,9.6,24.2,2.29,55.28,131.53,43.06,1.84,12.43,39.93,372.61,64.83,197.67,7.01,1.67,31.7,4.56
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c12_sample3_01_0_HIMC3_PERV.fcs - c12_sample3_01_0_HIMC3_PERV.fcs,9.02,4.51,93.77,5.62,4.47,72.24,154.21,8.78,16.48,45.38,17.14,15.72,13.23,1.84,761.16,1.08,24.5,9.14,25.55,2.25,55.56,113.41,37.99,1.89,11.79,40.03,361.26,56.5,145.81,6.66,1.9,25.69,4.51
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c01_sample1_01_0_E01_D0_UN.fcs - c01_sample1_01_0_E01_D0_UN.fcs,17.16,10,13.44,6.58,2.47,34.89,428.94,20.96,21.58,53.72,44.95,9.22,1.45,5.37,1366,4.54,28.25,0.84,25.86,3.54,58.21,639.1,97.81,22.87,16.4,260.5,323.89,221.67,442.95,2.3,1.27,244.01,2.48
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c10_sample1_01_0_E01_D0_PERV.fcs - c10_sample1_01_0_E01_D0_PERV.fcs,48.73,12.22,298.42,22.49,20.72,142.05,399.36,24.73,24.82,85.9,47.19,55.73,1.39,5.63,1391.18,4.24,26.84,1.48,28.28,2.66,49.53,653.73,97.82,22.3,13.47,264.48,265.84,210.29,409.23,3.03,2.17,239.26,2.09
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c02_sample1_01_0_E01_D1_UN.fcs - c02_sample1_01_0_E01_D1_UN.fcs,10.72,11.8,8.11,6.27,2.36,45.72,394.42,17.27,18.19,39.9,36.16,5.45,1.42,4.3,1155.13,4.07,34.43,0.85,34.12,4.97,91.72,461.43,55.82,6.22,24.98,181.41,514.44,176.22,267.8,1.97,1.36,162.42,3.32
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c11_sample1_01_0_E01_D1_PERV.fcs - c11_sample1_01_0_E01_D1_PERV.fcs,57.63,16.83,451.83,43.73,28.41,143.65,429.67,24.37,20.81,98.41,32.17,81.62,1.45,4.76,1204.78,4.37,35.35,2.05,38.09,3.99,81.41,477.2,59.09,6.07,21.08,197.05,433.34,170.32,260.92,3.5,2.32,158.89,2.98
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c03_sample1_01_0_E01_D2_UN.fcs - c03_sample1_01_0_E01_D2_UN.fcs,6.58,3.03,6.34,4.56,1.84,13.47,242.49,10.8,14,27.35,39.16,3.69,2.73,2.97,1077.54,7.91,68.37,1.75,45.2,8.82,142.45,203.82,18.68,6.83,43.89,146.29,829.98,174.36,110.87,1.78,2.94,71.74,4.92
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c12_sample1_01_0_E01_D2_PERV.fcs - c12_sample1_01_0_E01_D2_PERV.fcs,52.13,12.01,464.08,14.02,26.29,108.38,357.94,25.86,17.65,84.29,24.77,74.07,2.47,2.73,1100.34,7.99,69.64,2.77,49.43,6.87,131.9,211.71,20.23,4.3,39.11,146.93,749.21,167.83,95.81,2.95,3.38,70.34,4.6
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c03_sample2_01_0_E03_D0_UN.fcs - c03_sample2_01_0_E03_D0_UN.fcs,5.02,6.05,2.65,2.02,1.24,11.67,287.43,7.85,45.95,34.83,82.88,2.98,0.36,16.93,77.11,222.25,1.54,0.7,1.2,0.8,1.55,15.92,1.11,1.08,3.49,5.78,17.02,386.9,33.68,2.09,0.39,2.97,0.86
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c12_sample2_01_0_E03_D0_PERV.fcs - c12_sample2_01_0_E03_D0_PERV.fcs,5.43,6.04,12.22,2.77,5.78,58.96,466.67,23.75,44.18,39.27,87.51,5.38,0.38,17.66,77.1,215.8,1.62,0.76,1.33,0.81,1.41,15.74,1.39,1.27,3.34,5.33,15.42,382.41,30.1,2.5,0.92,2.99,0.87
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c04_sample2_01_0_E03_D1_UN.fcs - c04_sample2_01_0_E03_D1_UN.fcs,4.54,5.73,2.86,1.68,1.14,13.78,310.23,6.96,43.93,31.78,79.47,2.97,0.37,15.76,84.22,234.3,1.63,0.75,1.6,0.84,2.16,20.17,1.03,1.04,3.61,6.14,21.27,334.6,32.22,1.97,0.41,3.56,0.86
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c13_sample2_01_0_E03_D1_PERV.fcs - c13_sample2_01_0_E03_D1_PERV.fcs,5.36,5.93,14.11,2.06,2.92,61.25,440.64,16.12,43.94,40.75,83.58,4.79,0.41,17.07,86.05,230.08,1.65,0.81,1.69,0.86,2.03,21.62,1.23,1.13,3.41,6.42,18.59,339.83,31.29,2.08,0.9,3.85,0.81
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c05_sample2_01_0_E03_D2_UN.fcs - c05_sample2_01_0_E03_D2_UN.fcs,3.75,2.96,3.02,1.84,1.23,12,261.9,7.53,36.86,31.72,107.61,3.13,0.41,11.65,103.06,263.04,1.53,0.81,1.09,1.98,1.44,28.91,1.04,1.02,2.42,7.1,12.8,453.55,45.11,2.11,0.38,6.34,0.79
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c14_sample2_01_0_E03_D2_PERV.fcs - c14_sample2_01_0_E03_D2_PERV.fcs,4.62,3.62,10.33,2.4,3.4,50.86,410.2,21.99,36.82,39.21,111.15,4.77,0.42,12.14,102.59,258.58,1.63,0.86,1.18,2.01,1.48,30.07,1.28,1.16,2.47,7.25,11.75,459.37,43.37,2.39,0.81,6.68,0.81
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c04_sample1_01_0_E04_D0_UN.fcs - c04_sample1_01_0_E04_D0_UN.fcs,45.03,12.07,9.35,6.79,4.56,22.35,334.7,19.15,43.66,52.82,115.14,7.4,3.84,1.38,1202.17,16.78,12.36,2.41,11.83,1.41,15.12,485.26,84.07,32.41,35.99,39.64,313.07,90.32,161.13,3.01,5.72,149.74,2.18
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c13_sample1_01_0_E04_D0_PERV.fcs - c13_sample1_01_0_E04_D0_PERV.fcs,49.41,18.93,215.11,27.2,24.33,146.91,338.54,22.68,56.68,87.12,135.81,47.53,3.37,1.41,1243.49,16.61,12.5,2.66,14.43,1.22,12.96,513.76,89.91,34.33,28.86,34.61,254.14,85.09,156.02,3.61,6.67,148.71,2.05
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c05_sample1_01_0_E04_D1_UN.fcs - c05_sample1_01_0_E04_D1_UN.fcs,11.97,4.83,3.53,4.36,3.24,16.35,143.96,9.89,11.18,23.3,12.34,2.93,5.61,0.66,903.23,3.99,18.86,4.08,28.79,3,65.92,101.59,25.21,5.97,58.26,67.54,672.52,35.54,82.99,2.42,9.59,29.21,2.54
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c14_sample1_01_0_E04_D1_PERV.fcs - c14_sample1_01_0_E04_D1_PERV.fcs,26.35,10.69,117.36,14.59,17.03,60.03,175.81,15.4,26.42,47.09,25.4,25.83,5.98,1,959.06,6,20.62,4.4,28.59,2.71,57.22,148.54,37.75,9.92,48.79,61.01,570.91,39.95,119.96,3.15,8.11,42.32,2.54
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c06_sample1_01_0_E04_D2_UN.fcs - c06_sample1_01_0_E04_D2_UN.fcs,7.67,3.06,3.27,4.83,2.6,9.07,123.37,9.54,10.17,23.44,17.05,2.07,5.77,0.68,1034.19,1.73,26.86,3.97,40.25,4,104.22,41.2,7.94,4.67,70.16,83.93,928.71,32.32,43.65,2.26,7.66,7.75,3.1
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c15_sample1_01_0_E04_D2_PERV.fcs - c15_sample1_01_0_E04_D2_PERV.fcs,26.53,9.55,179.87,10.59,15.62,51.44,174.95,15.68,19.21,41.36,19.89,25.94,5.59,1.52,1081.35,2.43,25.34,4.11,36.86,2.76,93.05,75.23,19.92,6.48,59.08,76.66,803.13,39.56,84.38,2.48,7.02,15.84,2.4
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c06_sample2_01_0_E05_D0_UN.fcs - c06_sample2_01_0_E05_D0_UN.fcs,9.42,7.33,3.52,3.73,2.14,10.12,164.42,13.67,18.39,22.12,52.23,2.75,4.69,2.52,790.94,4.14,36.57,3.83,60.7,7.53,120.76,23.8,5.69,3.55,26.16,92.53,956.05,142.65,57.36,2.77,0.67,10.11,4.74
Singlet - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c15_sample2_01_0_E05_D0_PERV.fcs - c15_sample2_01_0_E05_D0_PERV.fcs,49.76,11.6,280.55,10.77,21.06,55.12,199.34,22.77,17.86,43.2,47.08,27.63,4.81,2.52,787.4,4.08,33.58,4.63,60.78,6.2,115.95,25.6,8.65,3.2,23.92,88.66,882.37,139.5,53.78,3.22,0.9,10.65,4.04
